,country_code ,Attack Helicopters,Fighters/Interceptors,Helicopters,Special-Mission,Trainers,Transports,Dedicated Attack,Defense Budget,External Debt,Foreign Exchange/Gold,Purchasing Power Parity,gdp,Country ,GDP,Shared Borders,Waterways,Square Land Area,Armored Vehicles,Rocket Projectors,Self-Propelled Artillery,Tanks,Towed Artillery,Labor Force,Merchant Marine Fleet,Ports / Trade Terminals,Railway Coverage,Roadway Coverage,country,Active Personnel,Paramilitary,Reserve Personnel,Total Population,Total Military Personnel,Oil Consumption,Oil Production,Oil Proven Reserves,Aircraft Carriers,Corvettes,Destroyers,Frigates,Helicopter Carriers,Mine Warfare,Patrol Vessels,Submarines,Navy Ships,Coastline Coverage
68,LIB,0,0,0,0,0,0,0,11800000.0,826000000.0,459800000.0,6500000000.0,3201187800.0,Liberia,3201187800.0,1667,0,111369,50,0,0,0,0,1677000,3492,2,429,10600,Liberia,2000,0,0,5214030,2000,8000,0,0,0,0,0,0,0,0,0,0,6,579
69,LBY,7,127,32,0,65,8,2,3475000000.0,3020000000.0,74710000000.0,68650000000.0,25418916028.9,Libya,25418916029.0,4339,0,1759540,2275,450,183,100,125,1114000,94,5,2000,37000,Libya,30000,0,0,7017224,30000,260000,1040000,48360000000,0,1,0,1,0,2,1,0,7,1770
70,LIT,0,10,5,0,0,5,0,1145745000.0,37859000000.0,4450000000.0,100000000000.0,56546957475.49,Lithuania,56546957475.0,1545,441,65300,572,0,21,0,54,1333000,64,3,1768,84166,Lithuania,16000,11000,15000,2711566,42000,58000,2000,12000000,0,0,0,0,0,4,4,0,11,90
71,MAD,0,5,5,0,0,0,0,109760000.0,3085000000.0,1600000000.0,40000000000.0,13056079982.39,Madagascar,13056079982.0,0,600,587040,109,0,0,12,17,13400000,27,4,836,31640,Madagascar,13000,10000,0,27534354,23000,18000,0,0,0,0,0,0,0,0,9,0,8,4828
72,MLY,0,144,41,4,39,18,12,3792819200.0,224596000000.0,102400000000.0,855600000000.0,337006066373.26,Malaysia,337000000000.0,2742,7200,329847,1708,54,0,48,196,15139000,1769,9,1851,144403,Malaysia,115000,100000,52000,33519406,267000,704000,645000,3600000000,0,6,0,3,0,4,29,2,82,4675
73,MAL,7,29,9,1,4,6,0,591260000.0,4192000000.0,647800000.0,44000000000.0,17465392915.92,Mali,17465392916.0,7908,0,1240192,264,32,0,80,50,6447000,0,1,593,139107,Mali,18000,2000,0,20137527,20000,22000,0,0,0,0,0,0,0,0,0,0,0,0
74,MAU,0,25,4,2,9,6,4,194475000.0,4150000000.0,875000000.0,23000000000.0,7913680231.18,Mauritania,7913680231.0,5002,0,1030700,100,0,0,30,100,1437000,5,2,728,12253,Mauritania,16000,5000,0,4079284,21000,17000,4000,20000000,0,0,0,0,0,0,3,0,5,754
75,MEX,0,469,159,25,204,45,33,6456000000.0,456713000000.0,175300000000.0,2306320000000.0,1073915880822.5,Mexico,1070000000000.0,4389,2900,1964375,3435,0,0,0,200,50914000,671,14,20825,398148,Mexico,250000,100000,65000,130207371,415000,1984000,1855000,6630000000,0,7,0,5,0,0,126,0,154,9330
76,MOL,0,3,2,0,0,1,0,47640000.0,7232000000.0,2803000000.0,32260000000.0,11915547262.66,Moldova,11915547263.0,1885,558,33851,381,25,9,10,69,1295000,147,0,1171,9352,Moldova,6000,1000,12000,3323875,19000,18000,0,0,0,0,0,0,0,0,0,0,0,0
77,MON,0,11,6,0,2,3,0,91980000.0,29945000000.0,3016000000.0,37600000000.0,13312981594.57,Mongolia,13312981595.0,8082,580,1564116,770,130,0,470,300,1241000,302,0,1815,113200,Mongolia,9000,10000,50000,3198913,69000,27000,20000,0,0,0,0,0,0,0,0,0,0,0
78,MTN,0,11,11,0,0,0,0,74074500.0,2516000000.0,1077000000.0,11500000000.0,4769860740.74,Montenegro,4769860741.0,680,0,13812,100,18,0,0,12,167000,17,1,250,7762,Montenegro,2000,10000,0,607414,12000,6000,0,0,0,0,0,0,0,0,5,0,13,294
79,MOR,0,249,64,4,67,29,0,5438823613.0,52957000000.0,26270000000.0,259420000000.0,114725065285.15,Morocco,115000000000.0,2363,0,446550,3500,144,517,3335,211,10399000,93,7,2067,57300,Morocco,200000,25000,100000,36561813,325000,278000,160,684000,0,1,0,6,0,0,22,0,121,1835
80,MOZ,2,18,8,0,1,1,0,140200000.0,10910000000.0,3361000000.0,38420000000.0,14019446610.2,Mozambique,14019446610.0,4783,460,799380,317,12,0,90,270,12900000,30,3,4787,31083,Mozambique,11000,0,0,30888034,11000,26000,0,0,0,0,0,0,0,0,8,0,8,2470
81,MYA,9,280,80,5,93,26,21,2285700000.0,6594000000.0,4924000000.0,247240000000.0,79852046610.97,Myanmar,79852046611.0,6522,12800,676578,1587,486,190,664,1869,22300000,95,3,5031,157000,Myanmar,400000,50000,0,57069099,450000,123000,11000,139000000,0,3,0,5,0,2,133,1,155,1930
82,NAM,2,30,7,0,14,3,0,363800000.0,7969000000.0,2432000000.0,22600000000.0,10619194505.35,Namibia,10619194505.0,4220,0,824292,489,7,0,5,54,956800,14,2,2628,48875,Namibia,12500,5000,0,2678191,17500,27000,0,0,0,2,0,0,0,0,5,0,8,1572
83,NEP,0,14,9,0,0,5,0,437580000.0,5849000000.0,9091000000.0,110720000000.0,33657175561.33,Nepal,33657175561.0,3159,0,147181,277,0,0,0,14,16810000,0,0,59,27990,Nepal,95000,10000,0,30424878,105000,27000,0,0,0,0,0,0,0,0,0,0,0,0
84,NTH,24,156,70,0,28,4,13,14260000000.0,4345410000000.0,38440000000.0,945480000000.0,913865395789.89,Netherlands,914000000000.0,1053,6237,41543,2806,0,57,18,15,8907000,1199,6,3058,139124,Netherlands,35000,5000,5000,17337403,45000,945500,18000,81130000,0,0,0,6,0,6,4,4,61,451
85,NWZ,0,47,22,5,13,7,0,3700000000.0,190621000000.0,20680000000.0,215600000000.0,210700848973.51,New Zealand,211000000000.0,0,0,267710,500,0,0,0,24,2709000,115,6,4128,94000,New Zealand,9600,0,2500,4991442,12100,169100,25000,51800000,0,0,0,2,0,0,4,0,9,15134
86,NIC,0,17,11,0,1,5,0,88340000.0,11674000000.0,2758000000.0,34980000000.0,12621505382.61,Nicaragua,12621505383.0,1253,2220,130370,300,163,0,195,630,3046000,5,2,0,23897,Nicaragua,12000,0,0,6243931,12000,37000,0,0,0,0,0,0,0,0,22,0,25,910
87,NGR,1,16,7,2,0,5,2,287280000.0,3728000000.0,1314000000.0,28970000000.0,13741378450.14,Niger,13741378450.0,5834,300,1267000,182,0,0,0,0,6500000,1,0,0,18949,Niger,10000,3000,0,23605767,13000,14000,9000,150000000,0,0,0,0,0,0,0,0,0,0
88,NGA,15,140,52,6,26,20,22,5875755689.0,26847000000.0,38770000000.0,1013530000000.0,432293776262.4,Nigeria,432000000000.0,4477,8600,923768,2019,47,44,376,349,60080000,791,4,3798,195000,Nigeria,135000,80000,0,219463862,215000,325000,2000000,37450000000,0,0,0,1,0,2,109,0,133,853
89,NKO,20,946,204,0,169,1,114,4500000000.0,5000000000.0,5000000000.0,38500000000.0,28500000000.0,North Korea,28500000000.0,1607,2250,120538,4114,1360,450,5895,250,14000000,264,7,7435,25554,North Korea,1200000,200000,600000,25831360,2000000,18000,0,0,0,0,0,5,0,10,200,35,450,2495
90,MAC,4,20,10,0,10,0,0,192639000.0,9065000000.0,2802000000.0,33000000000.0,12263710122.76,North Macedonia,12263710123.0,838,280,25713,228,11,0,10,36,793000,0,0,925,14182,North Macedonia,7500,4000,3000,2128262,14500,21000,0,0,0,0,0,0,0,0,0,0,0,0
91,NOR,0,161,49,8,35,4,21,8300000000.0,651040000000.0,65920000000.0,342060000000.0,362198318435.26,Norway,362000000000.0,2566,1577,323802,700,12,80,36,0,2699000,1644,11,4200,94902,Norway,23000,40000,0,5509591,63000,205300,1515000,6376000000,0,6,0,4,0,6,17,6,48,25148
92,OMA,0,128,31,4,45,9,10,8396300000.0,46270000000.0,16090000000.0,135000000000.0,73971391417.43,Oman,73971391417.0,1561,0,309500,932,12,0,117,183,2255000,57,5,0,60230,Oman,40000,6000,0,3694755,46000,188000,980000,5373000000,0,5,0,0,0,0,12,0,22,2092
93,PAK,57,1387,307,24,551,54,90,7690148664.0,107527000000.0,18460000000.0,1021130000000.0,262610002938.51,Pakistan,263000000000.0,7257,25220,796095,9950,560,689,2824,1208,61710000,57,2,11881,263775,Pakistan,640000,500000,500000,238181034,1640000,557000,90000,332200000,0,2,2,6,0,3,48,9,114,1046
94,PAN,0,39,22,1,4,12,0,741160000.0,101393000000.0,2703000000.0,109000000000.0,53977036995.17,Panama,53977036995.0,687,800,75420,50,0,0,0,0,1633000,7980,3,77,11978,Panama,0,27000,0,3928646,27000,146000,0,0,0,0,0,0,0,0,0,0,20,2490
95,PAR,0,41,15,0,15,9,0,353000000.0,16622000000.0,7877000000.0,85000000000.0,35670301496.11,Paraguay,35670301496.0,4655,3100,406752,75,0,6,8,50,3428000,110,4,30,74676,Paraguay,14000,10000,50000,7272639,74000,43000,0,0,0,0,0,0,0,0,16,0,40,0
96,PER,16,243,89,9,66,39,22,1830000000.0,81333000000.0,63830000000.0,400000000000.0,202014363787.23,Peru,202000000000.0,7062,8808,1285216,552,90,24,146,231,3421000,98,8,1854,140672,Peru,95000,50000,100000,32201224,245000,250000,50000,434900000,0,7,0,7,0,0,7,6,63,2414
97,PHI,2,182,103,9,24,21,25,4390000000.0,81995000000.0,81570000000.0,871560000000.0,361489325230.73,Philippines,361000000000.0,0,3219,300000,600,0,12,18,286,41533000,1805,5,77,216387,Philippines,130000,50000,100000,110818325,280000,424000,13000,138500000,0,1,0,2,0,0,50,0,93,36289
98,POL,30,452,207,9,96,49,0,14500000000.0,351770000000.0,113300000000.0,1200000000000.0,596624355719.67,Poland,597000000000.0,2845,3997,312685,4786,197,609,863,0,9561000,143,4,19231,420000,Poland,120000,32500,0,38185913,152500,649600,21000,126000000,0,2,0,2,0,21,3,1,86,440
99,POR,0,97,22,10,26,15,0,3360000000.0,441485000000.0,29050000000.0,331640000000.0,228539245045.34,Portugal,229000000000.0,1224,210,92090,725,0,24,37,45,4828100,726,7,3075,82900,Portugal,30500,25000,100000,10344802,155500,236000,12932,0,0,2,0,5,0,0,20,2,107,1793
100,QTR,24,165,66,0,41,12,6,5856000000.0,167800000000.0,15010000000.0,245660000000.0,144411363345.27,Qatar,144000000000.0,87,0,11586,3100,47,46,134,12,1953000,129,3,0,7039,Qatar,14000,5000,0,2479995,19000,277000,1465000,25240000000,0,4,0,0,0,0,20,0,86,563
101,ROC,1,13,8,0,0,3,0,348160000.0,4605000000.0,505700000.0,20000000000.0,48716960860.07,Republic of the Congo,48716960860.0,5008,1120,342000,181,30,3,53,23,2055000,11,6,510,23324,Republic of the Congo,12000,2000,0,5417414,14000,17000,340000,1600000000,0,0,0,0,0,0,0,0,6,169
102,ROM,0,147,62,2,42,11,0,5148090000.0,117829000000.0,44430000000.0,556070000000.0,248715551366.64,Romania,249000000000.0,2844,1731,238391,1392,207,0,451,808,4889000,121,6,11268,84185,Romania,67000,15000,50000,21230362,132000,198000,70000,600000000,0,7,0,3,0,5,3,0,45,225
103,RUS,544,4173,1543,132,522,445,739,154000000000.0,479844000000.0,432700000000.0,3875690000000.0,1483497784867.6,Russia,1480000000000.0,22408,102000,17098242,30122,3391,6574,12420,7571,69923000,2873,8,87157,1283387,Russia,850000,250000,250000,142320790,1350000,3650000,10760000,80000000000,1,86,15,11,0,49,59,70,605,37653
104,SAR,34,897,258,14,190,49,81,46000000000.0,205100000000.0,496400000000.0,1543240000000.0,700117873253.33,Saudi Arabia,700000000000.0,4272,0,2149690,6202,275,705,1062,1818,13800000,392,5,5410,221372,Saudi Arabia,225000,125000,0,34783757,350000,3287000,10425000,266200000000,0,4,0,7,0,3,39,0,57,2640
105,SER,4,117,51,0,38,1,17,1059200000.0,30927000000.0,11910000000.0,125800000000.0,53335016425.41,Serbia,53335016425.0,2322,587,77474,1133,406,93,323,404,3000000,0,1,3809,44248,Serbia,25000,5000,50000,6974289,80000,74000,17000,77500000,0,0,0,0,0,4,6,0,16,0
106,SIE,2,4,4,0,0,0,0,19325000.0,1615000000.0,478000000.0,13150000000.0,4063289449.59,Sierra Leone,4063289450.0,1093,800,71740,20,0,0,0,0,132000,591,3,0,11700,Sierra Leone,9000,0,0,6807277,9000,6500,0,0,0,0,0,0,0,0,7,0,10,402
107,SIN,18,244,79,9,36,9,0,11560000000.0,1557650000000.0,279900000000.0,531040000000.0,339998477929.99,Singapore,340000000000.0,0,10,697,3517,24,48,170,77,3778000,3321,1,0,3500,Singapore,60000,10000,200000,5866139,270000,1322000,0,0,0,6,0,6,0,4,15,5,40,193
108,SLK,0,50,24,1,8,7,0,2092000000.0,115853000000.0,3622000000.0,165570000000.0,105172564491.57,Slovakia,105000000000.0,1587,172,49035,454,25,16,20,9,2511000,0,2,3580,56926,Slovakia,13000,0,0,5436066,13000,85880,200,9000000,0,0,0,0,0,0,0,0,0,0
109,SLV,0,37,12,0,22,3,0,581680000.0,48656000000.0,889900000.0,76750000000.0,53589609580.71,Slovenia,53589609581.0,1211,0,20273,380,0,8,44,18,885000,9,1,1229,38985,Slovenia,7000,5000,2000,2102106,14000,52140,5,0,0,0,0,0,0,0,2,0,2,47
110,SOM,0,0,0,0,0,0,0,63934000.0,5300000000.0,30450000.0,13190000000.0,6965285324.52,Somalia,6965285325.0,2385,0,637657,65,0,0,0,0,4154000,4,2,0,15000,Somalia,17500,0,0,12094640,17500,5600,0,0,0,0,0,0,0,0,11,0,3,3025
111,SAF,12,225,91,7,88,22,0,2910671379.0,179871000000.0,50720000000.0,680040000000.0,335442101366.42,South Africa,335000000000.0,5244,0,1219090,2565,50,43,195,82,14687000,105,6,20986,750000,South Africa,72000,180000,15000,56978635,267000,621000,1600,15000000,0,0,0,4,0,2,31,3,47,2798
112,SKO,112,1595,739,30,289,41,90,46320000000.0,457745000000.0,389200000000.0,2187800000000.0,1637895802792.9,South Korea,1640000000000.0,237,1600,99720,13990,574,3040,2624,3854,26839000,1904,11,3979,100428,South Korea,555000,75000,500000,51715162,1130000,2584000,0,0,0,11,12,18,2,13,111,22,234,2413
113,SSU,6,18,16,0,0,2,0,276000000.0,2250000000.0,73000000.0,20000000000.0,21329109521.81,South Sudan,21329109522.0,6018,0,644329,150,7,12,55,0,750000,0,0,248,90200,South Sudan,175000,0,0,10984074,175000,8000,150200,3750000000,0,0,0,0,0,0,0,0,0,0
114,SPA,23,503,119,15,168,49,12,11750000000.0,2338850000000.0,69410000000.0,1714860000000.0,1281484640043.58,Spain,1280000000000.0,1953,1000,505370,5033,0,96,327,140,19057000,478,12,15333,683175,Spain,120000,80000,15000,47260584,215000,1296000,1700,150000000,1,0,0,11,0,6,22,2,139,4964
115,SRL,9,86,56,2,6,17,0,1860000000.0,55332000000.0,7959000000.0,274800000000.0,80676681933.98,Sri Lanka,80676681934.0,0,160,65610,600,22,0,182,164,8000000,90,1,1562,114093,Sri Lanka,250000,11000,5500,23044123,266500,116000,0,0,0,0,0,5,0,0,59,0,275,1340
